Name,Location,Type,Rating,Price
Shivtirth Vadapav	,nw-college,"Maharashtrian, Snacks, Beverages",--,100 FOR TWO
Wadeshwar (Bajirao road),nw-college,"South Indian, Snacks, Street Food, Beverages",4.6,350 FOR TWO
Third Wave Coffee,nw-college,"Beverages, Fast Food, Snacks",4.4,400 FOR TWO
Shree Kala - Aaba Misalwale,nw-college,"Snacks, Maharashtrian, Beverages, Desserts",4.3,150 FOR TWO
Cafe Crush,nw-college,"Beverages, Snacks",--,200 FOR TWO
Hotel Durga,nw-college,"Fast Food, South Indian",4.4,300 FOR TWO
Granny Ammaas Cake,nw-college,"Desserts, Bakery",3.7,300 FOR TWO
Swa Varhadi MIsal,nw-college,"Indian, Snacks",--,200 FOR TWO
Maskawala & Co.,nw-college,"Snacks, Biryani, Bakery",4.4,400 FOR TWO
SHRI BALAJI IDLI WADA CENTER,nw-college,South Indian,4.4,150 FOR TWO
VISHNUKRUPA HALL,nw-college,"Indian, Snacks",--,200 FOR TWO
EatFit,nw-college,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",4.2,270 FOR TWO
Appa,nw-college,Street Food,4.3,150 FOR TWO
Subhanallah Hotel,nw-college,"North Indian, Mughlai",--,400 FOR TWO
Mummy's Kitchen,nw-college,Snacks,--,250 FOR TWO
HOTEL GEETA VIHAR,nw-college,"North Indian, South Indian, Biryani, Snacks",--,300 FOR TWO
CakeZone,nw-college,"Bakery, Desserts, Sweets, Ice Cream",4.4,200 FOR TWO
Shrimanti Misal And Snacks,nw-college,"Maharashtrian, Street Food",4.3,150 FOR TWO
Great Indian Khichdi by EatFit,nw-college,"Indian, Home Food, Healthy Food, Snacks",4.3,200 FOR TWO
Bhadait Misal,nw-college,"Maharashtrian, Snacks",4.4,150 FOR TWO
HRX by EatFit,nw-college,"Healthy Food, Salads, Keto",4.3,270 FOR TWO
Anarse Samosewale,nw-college,Snacks,4.2,100 FOR TWO
Home Plate by EatFit,nw-college,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.8,160 FOR TWO
Samosa Singh,nw-college,"North Indian, Indian, Snacks, Street Food",3.7,150 FOR TWO
McDonald's,nw-college,"Burgers, Beverages, Cafe, Desserts",4.2,400 FOR TWO
Pav Bhaji On KG,nw-college,"Snacks, Street Food, Beverages",--,150 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,nw-college,"Desserts, Ice Cream, Ice Cream Cakes",4.6,200 FOR TWO
Umar Fast Food,nw-college,"Chinese, Biryani",--,199 FOR TWO
Hotel Lalit Mahal,nw-college,"Chinese, Fast Food, Maharashtrian, Indian",--,400 FOR TWO
SHREE SAINATH SNACKS CENTER,nw-college,South Indian,--,50 FOR TWO
Haldiram's Restaurant,nw-college,"Chaat, North Indian, South Indian, Fast Food, Beverages, Desserts",4.3,300 FOR TWO
The Dessert Heaven - Pure Veg,nw-college,"Bakery, Desserts, Sweets, Ice Cream",4.2,200 FOR TWO
Roopali Restaurant - FC Road,nw-college,"South Indian, North Indian, Beverages",4.6,300 FOR TWO
RAHUL WADEWALE,nw-college,"Snacks, Beverages, Indian",--,100 FOR TWO
Blue Tokai Coffee Roasters,nw-college,"Desserts, Beverages, Healthy Food, Pizzas, Waffle, Salads, Pastas",4.5,600 FOR TWO
Haldiram's Sweets and Namkeen,nw-college,"South Indian, North Indian, Indian, Fast Food, Snacks",4.5,200 FOR TWO
BreakFast,nw-college,South Indian,4.4,150 FOR TWO
HINDUSTAN BAKERY,nw-college,"Bakery, Snacks",--,100 FOR TWO
Sharvaree Restaurant,nw-college,"Maharashtrian, North Indian, Chinese",4.4,700 FOR TWO
Cheesecakes By CakeZone,nw-college,"Desserts, Bakery",4.7,200 FOR TWO
Irani Cafe,nw-college,"Bakery, Snacks, Fast Food, Desserts, Beverages, Indian, Street Food",4.4,200 FOR TWO
Shri Kailash dairy,nw-college,"Beverages, Desserts, Sweets, Snacks, Ice Cream",4.4,200 FOR TWO
Iceberg Organic Icecreams By EatFit,nw-college,Ice Cream,--,200 FOR TWO
Smoodies & Juices- Yours Fruitfully,nw-college,"Beverages, Juices, Healthy Food, Desserts",--,270 FOR TWO
Sam And Sam Burger,nw-college,"American, Fast Food, Pizzas",--,200 FOR TWO
ITC Fabelle Chocolates,nw-college,"Bakery, Desserts",5.0,600 FOR TWO
SWARAJYA WADEWALE,nw-college,"Snacks, South Indian, Beverages",--,200 FOR TWO
Martand Misal & Special Tea,nw-college,"Snacks, Maharashtrian, Sweets, Beverages",--,150 FOR TWO
Suchali's Artisan Bakehouse,nw-college,"Bakery, Beverages",--,600 FOR TWO
Chirp Cafe,nw-college,"Beverages, Chinese, Indian, Italian, Pizzas",4.2,400 FOR TWO
POONA CENTRAL RESTAURANT,nw-college,"North Indian, Chinese, Tandoor, Biryani",--,1000 FOR TWO
Vateshwar Bhuvan,nw-college,Fast Food,4.4,150 FOR TWO
SANJEEVINI  SNACKES CORNER,nw-college,"Snacks, Street Food, Beverages",--,220 FOR TWO
Murthys,nw-college,Bakery,--,150 FOR TWO
Buva Snacks Vadapav Dosa Center,nw-college,"Street Food, South Indian, Snacks",--,100 FOR TWO
Shree Krishna Palace,nw-college,"North Indian, South Indian",4.3,400 FOR TWO
Theobroma,nw-college,"Bakery, Desserts",4.6,500 FOR TWO
Cafe Peter,nw-college,Continental,2.7,350 FOR TWO
Baker's Basket,nw-college,"Bakery, Desserts",4.6,400 FOR TWO
 Hotel Ramnath Kolhapuri Misal,nw-college,Street Food,4.0,150 FOR TWO
Crazy Cheesy,nw-college,"Pizzas, Pastas, American, Italian",4.1,500 FOR TWO
Gulp,nw-college,"Beverages, Desserts",4.3,200 FOR TWO
Chai Ya Coffee?,nw-college,"Bakery, Beverages, Desserts",--,200 FOR TWO
Oum Kailash Dairy,nw-college,Desserts,--,150 FOR TWO
Wich Wich,nw-college,Fast Food,--,200 FOR TWO
McDonald's Gourmet Burger Collection,nw-college,"Burgers, Beverages, Cafe, Desserts",--,400 FOR TWO
Subway,nw-college,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.4,350 FOR TWO
Kiosk Kaffee,nw-college,Beverages,--,350 FOR TWO
AKKAGS T.R SHARMA SHEGOAN KACHORI CENTER,nw-college,Street Food,--,100 FOR TWO
Thorat's Baarbeque Misal,nw-college,Snacks,--,300 FOR TWO
PALLAVI PURE VEG,nw-college,"North Indian, South Indian, Chinese, Beverages, Desserts",3.3,300 FOR TWO
Cafe U N ME,nw-college,Indian,--,400 FOR TWO
Shiv Sagar,nw-college,"North Indian, South Indian, Chinese, Fast Food",4.3,300 FOR TWO
Darshan,nw-college,"Italian, Chinese, Continental, Desserts, Chaat, Indian, North Indian, Juices, Me...",4.5,550 FOR TWO
Anna Idli,nw-college,South Indian,4.4,300 FOR TWO
HOT KATHI ROLLS,nw-college,"Snacks, Indian",--,200 FOR TWO
Cafe Riddhi and Dosa Centre,nw-college,"South Indian, Snacks",--,200 FOR TWO
Dakshination,nw-college,Indian,--,290 FOR TWO
McCafe by McDonald's,nw-college,"American, Beverages, Desserts",--,250 FOR TWO
Cafe Goodluck,nw-college,"North Indian, Biryani, Snacks, Beverages, Bakery",4.3,350 FOR TWO
Green Signal.,nw-college,"Chinese, Continental, Indian, North Indian",4.5,500 FOR TWO
Pankaj`S Sambar,nw-college,"South Indian, Chinese, Snacks, Beverages",--,350 FOR TWO
COFFEE NATION,nw-college,Indian,--,300 FOR TWO
Niranjan Veg Restaurant,nw-college,"South Indian, Maharashtrian, Chinese, Fast Food, Beverages",4.5,400 FOR TWO
Cafe Kathaa,nw-college,"Continental, Healthy Food, Beverages",--,550 FOR TWO
KANNU KI CHAI,nw-college,"Beverages, Snacks, Maharashtrian",4.6,250 FOR TWO
Rohit Wadewale,nw-college,"Maharashtrian, Beverages, Snacks, Bakery, Fast Food",4.0,250 FOR TWO
Le Plaisir,nw-college,European,4.5,1000 FOR TWO
Hotel Subhadraa ,nw-college,"North Indian, Chinese, South Indian, Biryani",4.4,350 FOR TWO
SARKAR FOOD,nw-college,"Fast Food, Beverages",--,150 FOR TWO
Momo mafia,nw-college,"Tandoor, North Indian, Indian",--,200 FOR TWO
The Cake & Cream Factory,nw-college,Bakery,4.4,200 FOR TWO
GOKHALES KITCHEN,nw-college,"Thalis, Street Food, South Indian, Maharashtrian",4.3,200 FOR TWO
Jayashree Garden,nw-college,"North Indian, Chinese, Continental",4.2,500 FOR TWO
Kekiz The Cake Shop,nw-college,Desserts,--,400 FOR TWO
Katakirrr Misal,nw-college,"Maharashtrian, Snacks",4.1,200 FOR TWO
Saffron Vegetarian,nw-college,"North Indian, Chinese, South Indian, Fast Food",4.4,500 FOR TWO
Ishan Pure Veg,nw-college,"North Indian, Chinese, South Indian, Beverages",4.5,400 FOR TWO
WAGH BAKRI TEA LOUNGE,nw-college,"Beverages, Snacks, Bakery",4.1,500 FOR TWO
Hotel Vandan Pure Veg,nw-college,"South Indian, Indian, Fast Food, Snacks, Juices",--,250 FOR TWO
Sai Chaya Misal House,nw-college,"Chinese, Snacks, North Indian",--,200 FOR TWO
Ajantha,nw-college,Maharashtrian,--,100 FOR TWO
NRH BADSHAHI,nw-college,"Fast Food, Snacks, Beverages",--,200 FOR TWO
Shiv Kailash,nw-college,"Beverages, Sweets",--,200 FOR TWO
THE CREMA,nw-college,"Beverages, Desserts",--,200 FOR TWO
Sagar,nw-college,"North Indian, South Indian, Chinese",4.1,550 FOR TWO
LE 21 PIZZERIA,nw-college,Indian,--,600 FOR TWO
Yolkshire,pune-new-bazar,"Healthy Food, Italian, Salads, Desserts",4.3,400 FOR TWO
Abhiman Pure Veg,pune-new-bazar,"North Indian, Chinese",4.1,450 FOR TWO
Mithas,pune-new-bazar,"Sweets, Desserts, Snacks",4.5,450 FOR TWO
Third Wave Coffee,pune-new-bazar,"Beverages, Fast Food, Snacks",4.4,400 FOR TWO
Theobroma,pune-new-bazar,"Bakery, Desserts",4.5,500 FOR TWO
Maskawala & Co.,pune-new-bazar,"Snacks, Biryani, Bakery",4.4,400 FOR TWO
Hotel Lazeez,pune-new-bazar,"North Indian, Thalis, Biryani",--,300 FOR TWO
INDORI POHA & DIET POHA,pune-new-bazar,Snacks,--,70 FOR TWO
Barista,pune-new-bazar,"Beverages, Snacks, Desserts",3.9,350 FOR TWO
Cafe Old Skool,pune-new-bazar,Desserts,4.6,300 FOR TWO
Falahaar,pune-new-bazar,"Juices, Beverages, Snacks, Fast Food, Italian, Pizzas, Street Food, Desserts",4.5,350 FOR TWO
Cafe Peter,pune-new-bazar,"Italian, Desserts",4.4,400 FOR TWO
Anna Idli,pune-new-bazar,"South Indian, Andhra",4.4,350 FOR TWO
Oye Kiddan,pune-new-bazar,"North Indian, Punjabi, Thalis",4.1,250 FOR TWO
Fakkad Foods,pune-new-bazar,"Street Food, Fast Food, Indian",4.3,300 FOR TWO
Urban Bistro,pune-new-bazar,"Continental, American, Pizzas, Salads, Beverages",--,400 FOR TWO
Aashirwad Cafe,pune-new-bazar,"Indian, Chinese, South Indian, Italian",--,200 FOR TWO
Chole Kulche,pune-new-bazar,"Punjabi, Thalis, Snacks, Beverages",3.7,300 FOR TWO
S.A Dosa Cafe,pune-new-bazar,South Indian,3.3,250 FOR TWO
Wake and Bake,pune-new-bazar,"Desserts, Sweets",4.4,350 FOR TWO
Shri Chaturshringi mata Snacks center,pune-new-bazar,Indian,4.0,200 FOR TWO
Fantasy Bakery N Patisserie,pune-new-bazar,"Bakery, Desserts",--,100 FOR TWO
Eat-O-Keto  (Sugar free & Gluten free),pune-new-bazar,"Healthy Food, Keto, Beverages, Desserts, Indian, Continental",4.3,500 FOR TWO
Subway,pune-new-bazar,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",4.2,350 FOR TWO
Chitale Bandhu Mithaiwale,pune-new-bazar,"Sweets, Snacks, Beverages",4.7,450 FOR TWO
Starbucks Coffee,pune-new-bazar,Beverages,4.7,400 FOR TWO
Hotel Durga,pune-new-bazar,"Fast Food, South Indian",4.4,300 FOR TWO
Chotu Tapriwala,pune-new-bazar,Beverages,--,300 FOR TWO
Kiosk Kaffee,pune-new-bazar,"Beverages, Snacks",--,300 FOR TWO
The Good Place,pune-new-bazar,"Healthy Food, Beverages",--,500 FOR TWO
Chefs On A Wheel,pune-new-bazar,"Fast Food, Snacks, Beverages",--,200 FOR TWO
Darshini,pune-new-bazar,South Indian,4.2,200 FOR TWO
Cafe PeterDonuts,pune-new-bazar,"Continental, Desserts",4.1,400 FOR TWO
DEMITASSE COFFEE,pune-new-bazar,"Beverages, Ice Cream",--,300 FOR TWO
TWO GOOD,pune-new-bazar,Indian,4.5,1200 FOR TWO
Shree Someshwar Misal House,pune-new-bazar,Snacks,--,200 FOR TWO
Sushi Stix,pune-new-bazar,Japanese,--,500 FOR TWO
Ishan Pure Veg,pune-new-bazar,"North Indian, Chinese, South Indian, Beverages",4.5,400 FOR TWO
Subway,pune-new-bazar,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.3,350 FOR TWO
Wholesome meals,pune-new-bazar,"North Indian, Punjabi, Indian, Desserts, Beverages, Combo",4.0,250 FOR TWO
Kannu Ki Chai,pune-new-bazar,Beverages,4.3,350 FOR TWO
Wok toss,pune-new-bazar,"Pan-Asian, Chinese, Thai, Indonesian, Desserts",--,400 FOR TWO
E- SQUARE THE FERN,pune-new-bazar,"Chinese, North Indian, Punjabi, Snacks",--,500 FOR TWO
Story Al Iran Aundh,pune-new-bazar,"Beverages, Bakery, Snacks, Biryani",--,300 FOR TWO
chef's craft nation,pune-new-bazar,"Snacks, Pizzas, Fast Food, Burgers, Beverages",--,250 FOR TWO
BALAJI SNACKS,pune-new-bazar,"Chinese, Snacks, Indian",3.4,250 FOR TWO
The Baker's Dozen,pune-new-bazar,"Bakery, Desserts, Juices, Beverages, Snacks",4.1,300 FOR TWO
Indore Spices,pune-new-bazar,"Street Food, Snacks",4.4,150 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,pune-new-bazar,"Desserts, Ice Cream, Ice Cream Cakes",--,200 FOR TWO
ROLLING IN DOUGH,pune-new-bazar,"Continental, Bakery",4.6,800 FOR TWO
Dadu's Sweet Emporio,pune-new-bazar,"Desserts, Healthy Food, Sweets, Bakery",4.5,600 FOR TWO
POSHAK,pune-new-bazar,"Juices, Salads",4.5,250 FOR TWO
McDonald's Gourmet Burger Collection,pune-new-bazar,"Burgers, Beverages, Cafe, Desserts",3.7,600 FOR TWO
R K Kitchen,pune-new-bazar,"Beverages, Indian, Snacks",4.4,200 FOR TWO
Chinese drailtrail,pune-new-bazar,"Chinese, Fast Food, Snacks",--,200 FOR TWO
Maharaja Wada,pune-new-bazar,"Indian, Chaat, Beverages, Pizzas",4.6,150 FOR TWO
Shiv Sagar,pune-new-bazar,"North Indian, Chinese, Italian, South Indian, Mexican",4.3,500 FOR TWO
Nashtaram,pune-new-bazar,Indian,--,100 FOR TWO
Tea Villa Cafe,pune-new-bazar,"Continental, Mediterranean, Italian, Desserts, Beverages",4.1,800 FOR TWO
Tea Fancilla,pune-new-bazar,"Indian, Beverages, North Indian, Maharashtrian, Italian, Snacks",--,400 FOR TWO
Indori Laal,pune-new-bazar,"Street Food, Snacks",4.2,150 FOR TWO
BALAJI TEA AND SNACKS CENTER,pune-new-bazar,"Beverages, Snacks, Street Food",--,50 FOR TWO
Mumbai Chai,pune-new-bazar,"Beverages, Fast Food, Chinese, Street Food",--,200 FOR TWO
McCafe by McDonald's,pune-new-bazar,"American, Beverages, Desserts",--,250 FOR TWO
Kaka Halwai Sweets and Namkeen,pune-new-bazar,"Sweets, Snacks",4.3,350 FOR TWO
Upsouth,pune-new-bazar,South Indian,3.5,250 FOR TWO
Rohit Wadewale Pashan,pune-new-bazar,"South Indian, Indian, Maharashtrian",4.3,100 FOR TWO
Kafe Fusion,pune-new-bazar,"Continental, Desserts, Italian, Mexican, Bakery, Beverages",--,300 FOR TWO
Fithulk Lassi Bar,pune-new-bazar,"Beverages, Fast Food",--,200 FOR TWO
CLASICO DE CAFE,pune-new-bazar,"Beverages, Burgers, Snacks",--,300 FOR TWO
Tea Post,pune-new-bazar,"Beverages, Snacks",--,300 FOR TWO
Vardayini Pure Veg,pune-new-bazar,"Indian, Continental, Juices, South Indian, Italian, North Indian, Chinese, Birya...",4.1,400 FOR TWO
The Coffee Bean & Tea Leaf,pune-new-bazar,"Beverages, Snacks",--,450 FOR TWO
Khandoli Nitin's Canteen,pune-new-bazar,"Indian, Fast Food, Beverages, Snacks",--,200 FOR TWO
Kaldis Berry,pune-new-bazar,"Snacks, Beverages, Indian",--,300 FOR TWO
The Flour Works,pune-new-bazar,"European, American, Bakery",4.4,1000 FOR TWO
BEANS BAR,pune-new-bazar,"Beverages, Fast Food",--,200 FOR TWO
Madras Cafe,pune-new-bazar,"South Indian, Thalis, Chinese, North Indian",4.3,250 FOR TWO
SUDAMACHE POHE,pune-new-bazar,Indian,4.6,100 FOR TWO
Niranjan Veg Restaurant,pune-new-bazar,"South Indian, Maharashtrian, Chinese, Fast Food, Beverages",4.5,400 FOR TWO
Niranjan Veg Restaurant,pune-new-bazar,"South Indian, Maharashtrian, Chinese, Fast Food, Beverages",4.5,400 FOR TWO
Sassy Teaspoon,pune-new-bazar,Desserts,4.4,800 FOR TWO
Sandwich Express,pune-new-bazar,"Street Food, Beverages, Snacks",4.3,300 FOR TWO
Sai Sagar Pure Veg- Aundh,pune-new-bazar,"Indian, Punjabi, South Indian, Beverages",4.2,250 FOR TWO
"The South Story,",pune-new-bazar,"South Indian, Snacks",4.2,300 FOR TWO
VENKATESH SNACKS CENTER,pune-new-bazar,"Beverages, Indian, Snacks",4.2,300 FOR TWO
JAI SHREE KRUSHNA PURE VEG,pune-new-bazar,"Indian, Biryani",--,500 FOR TWO
Giridhar,pune-new-bazar,"North Indian, South Indian, Chinese, Snacks, Biryani",4.4,300 FOR TWO
Banglore Iyanger Bakery,pune-new-bazar,"Bakery, Desserts",--,200 FOR TWO
Cafe Goodluck,pune-new-bazar,"Snacks, Beverages, Desserts",4.5,250 FOR TWO
Peppy Parathas & Rolls By Chai Point,pune-new-bazar,"Bakery, Combo, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punj...",--,150 FOR TWO
Upwas Uphargruha,pune-new-bazar,"Indian, Snacks",3.3,200 FOR TWO
Enchante By Chai Point,pune-new-bazar,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",--,150 FOR TWO
Motabhai Sawaji Mh 31	,pune-new-bazar,"Indian, Snacks, Thalis",--,400 FOR TWO
Fruitango,pune-new-bazar,"Juices, Beverages",--,200 FOR TWO
Origin Bistro,pune-new-bazar,European,4.4,650 FOR TWO
GK Pooriwala,pune-new-bazar,"North Indian, Maharashtrian, Fast Food, Beverages",4.2,150 FOR TWO
Downtown Food Station,pune-new-bazar,Chinese,--,400 FOR TWO
South & More,pune-new-bazar,"South Indian, Snacks, Beverages",3.8,200 FOR TWO
Bowl Up!,pune-new-bazar,"North Indian, Desserts",--,200 FOR TWO
Flavours Street,pune-new-bazar,"Street Food, Snacks, Beverages, Indian",4.0,300 FOR TWO
Snack Eat,pune-new-bazar,"Snacks, Desserts, Maharashtrian",--,150 FOR TWO
Sai Krupa Snacks Center,pune-new-bazar,"Beverages, Snacks, South Indian",--,250 FOR TWO
Satej Misal Maharashtrian Ana South Indian Food,pune-new-bazar,Fast Food,--,300 FOR TWO
The Mighty Crust Pizzeria ,pune-new-bazar,Pizzas,--,300 FOR TWO
Pav Bhaji Company,pune-new-bazar,"Fast Food, Snacks, Beverages",--,200 FOR TWO
SLAY Coffee,pune-new-bazar,"Beverages, Desserts",4.0,200 FOR TWO
Happy Da Paratha,pune-new-bazar,Indian,--,200 FOR TWO
The J's Pizza,pune-new-bazar,"Pizzas, Pastas",--,400 FOR TWO
Momoya,pune-new-bazar,Chinese,--,200 FOR TWO
The Brooklyn Creamery - Healthy Ice Cream,pune-new-bazar,"Desserts, Ice Cream, Healthy Food",4.3,200 FOR TWO
Sandwich Destination,pune-new-bazar,"Fast Food, Burgers, Chinese, Beverages, Snacks",--,200 FOR TWO
Sandwich Destination,pune-new-bazar,"Fast Food, Burgers, Chinese, Beverages, Snacks",--,200 FOR TWO
Growlthy,pune-new-bazar,"Fast Food, Chinese, Snacks, Beverages",--,100 FOR TWO
Baskin Robbins,pune-new-bazar,"Desserts, Ice Cream",2.8,250 FOR TWO
Neelraj Misal House,pune-new-bazar,Street Food,3.8,150 FOR TWO
cafe Magic of Taste,pune-new-bazar,Snacks,--,250 FOR TWO
Ganpat sweets,pune-new-bazar,"Indian, Snacks",2.6,100 FOR TWO
Rang De Basanti,pune-new-bazar,Indian,--,600 FOR TWO
Faasos - Wraps & Rolls,pune-new-bazar,"Fast Food, North Indian, Street Food, Desserts",4.2,200 FOR TWO
Youthapam Restocafe Bavdhan,pune-new-bazar,South Indian,3.8,200 FOR TWO
LunchBox - Meals and Thalis,pune-new-bazar,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.1,200 FOR TWO
Sharvaree Restaurant,pune-new-bazar,"Maharashtrian, North Indian, Chinese",4.4,700 FOR TWO
Katakirrr Misal,pune-new-bazar,"Snacks, Maharashtrian",4.1,300 FOR TWO
Iddarika Idli,pune-new-bazar,South Indian,--,100 FOR TWO
Chocolate Biclate,pune-new-bazar,"Desserts, Bakery, Beverages",3.7,250 FOR TWO
Wadeshwar(Law college road),pune-new-bazar,"South Indian, Snacks, Street Food, Beverages, Desserts",4.5,350 FOR TWO
Shegaon Kachori,pune-new-bazar,North Indian,4.7,200 FOR TWO
Starbucks Coffee,vishrantwadi,"Beverages, Ice Cream",4.4,400 FOR TWO
Chitale Bandhu Mithaiwale,vishrantwadi,"Sweets, Snacks",--,350 FOR TWO
Joshi Wadewale,vishrantwadi,"Street Food, South Indian",4.1,100 FOR TWO
Nandu's Paratha & TND Fastfood,vishrantwadi,North Indian,4.1,300 FOR TWO
SP Snacks Centre,vishrantwadi,"Beverages, Fast Food, South Indian",--,100 FOR TWO
Naadbramha Idli,vishrantwadi,"South Indian, Beverages",4.5,200 FOR TWO
G-1 Juice Center,vishrantwadi,Beverages,--,150 FOR TWO
Ashok Tea Centre,vishrantwadi,"South Indian, Beverages",--,100 FOR TWO
Torna Misal Pure Veg,vishrantwadi,"Indian, Beverages",--,250 FOR TWO
SAM's Cafe & Cake shop,vishrantwadi,"Continental, Fast Food, Cafe, Bakery",--,250 FOR TWO
Sana' s kitchen,vishrantwadi,"Desserts, Sweets, Fast Food, Beverages",--,100 FOR TWO
DURVA MODAK CENTER,vishrantwadi,"Sweets, Snacks",4.3,150 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,vishrantwadi,"Desserts, Ice Cream, Ice Cream Cakes",4.9,280 FOR TWO
Taste Of myINDIA,vishrantwadi,North Indian,--,200 FOR TWO
Mithas,vishrantwadi,"Sweets, Desserts, Snacks",4.4,450 FOR TWO
Tatya Misal House,vishrantwadi,"Maharashtrian, Street Food",--,200 FOR TWO
New Punjab Rasoi Kitchen,vishrantwadi,"North Indian, Biryani, Punjabi, Indian, Desserts",2.0,349 FOR TWO
Momo Box Express,vishrantwadi,"Chinese, Snacks, Street Food",--,200 FOR TWO
Mughal Rasoi & Tandoor,vishrantwadi,"North Indian, Chinese, Snacks, Indian, South Indian, Desserts, Beverages",--,500 FOR TWO
Up South Express,vishrantwadi,South Indian,--,600 FOR TWO
Radio Shack Sea Food Restaurant,vishrantwadi,"North Indian, Chinese, Pizzas",1.9,500 FOR TWO
Jashn E Darbaar,vishrantwadi,"North Indian, Chinese, Snacks, Tandoor, South Indian, Desserts, Beverages",--,400 FOR TWO
Tea Post,vishrantwadi,"Beverages, Bakery, Healthy Food",4.1,150 FOR TWO
Palace of Theme Cakes,vishrantwadi,Bakery,--,400 FOR TWO
Irani Cafe,vishrantwadi,"Bakery, Snacks, Fast Food, Desserts, Beverages, Street Food, Indian",4.4,200 FOR TWO
HOTEL SK PURE VEG,vishrantwadi,"North Indian, Chinese, South Indian, Snacks, Biryani",--,250 FOR TWO
Cafe Durga Dhanori (Diva Espresso),vishrantwadi,"North Indian, Snacks, Fast Food",--,200 FOR TWO
South Kitchen,vishrantwadi,South Indian,--,200 FOR TWO
Shegaon Kachori,vishrantwadi,North Indian,--,200 FOR TWO
"New Sagar Hotel, Khadki",vishrantwadi,"Snacks, South Indian, Sweets",--,100 FOR TWO
Renuka Foods,vishrantwadi,"North Indian, Indian, Desserts",--,200 FOR TWO
SUJATAS MAHARASHTRIAN FOOD,vishrantwadi,Indian,4.2,250 FOR TWO
All Day Breakfast,vishrantwadi,"Continental, American",4.1,400 FOR TWO
Agatya Pure Veg,vishrantwadi,"Indian, Chinese",3.9,350 FOR TWO
DD Baking,vishrantwadi,"Bakery, Desserts",--,200 FOR TWO
Madras Tiffin Room,vishrantwadi,South Indian,--,300 FOR TWO
Cheesecakes By CakeZone,vishrantwadi,"Bakery, Desserts",4.8,200 FOR TWO
Agrawal's Cafe,vishrantwadi,"Indian, South Indian, Fast Food",3.6,197 FOR TWO
CakeZone,vishrantwadi,"Bakery, Desserts, Sweets, Ice Cream",4.3,200 FOR TWO
House of Parathas,vishrantwadi,Indian,--,200 FOR TWO
Zen Cafe,vishrantwadi,European,4.4,800 FOR TWO
M S Chinese,vishrantwadi,Chinese,--,200 FOR TWO
The Dessert Heaven - Pure Veg,vishrantwadi,"Bakery, Desserts, Sweets, Ice Cream",4.6,200 FOR TWO
Parijat Mithai,vishrantwadi,"Sweets, Snacks",--,300 FOR TWO
Anna Idli,vishrantwadi,South Indian,4.4,300 FOR TWO
Sai Restaurant,vishrantwadi,"Chinese, North Indian, Punjabi, Biryani, Tandoor",3.5,300 FOR TWO
Sante Spa Cuisine,vishrantwadi,"Indian, Asian, Italian",4.1,1000 FOR TWO
La Bouchee d'Or,vishrantwadi,"Bakery, Desserts",4.9,400 FOR TWO
Katakirr Misal,vishrantwadi,"Maharashtrian, Snacks",3.5,200 FOR TWO
Cafe Durga - Wadia College,vishrantwadi,"Beverages, Fast Food, Indian",--,250 FOR TWO
Sai Tirth Misal House,vishrantwadi,"Maharashtrian, Snacks",4.1,100 FOR TWO
Buddha Paradise,vishrantwadi,"South Indian, Fast Food, Chinese",3.8,250 FOR TWO
Delicious Maggi,vishrantwadi,"Snacks, Pastas, Beverages",--,300 FOR TWO
Bhuka Burger,vishrantwadi,Burgers,--,400 FOR TWO
Creamy Cad Coffee,vishrantwadi,Beverages,--,200 FOR TWO
Yummy Pasta & Fries,vishrantwadi,"Pastas, Snacks, Beverages",--,300 FOR TWO
Paramji Wadewale,vishrantwadi,"Snacks, South Indian, Beverages",3.7,100 FOR TWO
Kannu Ki Chai,vishrantwadi,"Beverages, Fast Food, Snacks",4.2,350 FOR TWO
Cafe Peter,vishrantwadi,"Continental, Ice Cream, Desserts",--,400 FOR TWO
Only Keema,vishrantwadi,"North Indian, Fast Food, Chinese, Snacks",--,350 FOR TWO
Tasty Corner,vishrantwadi,North Indian,--,150 FOR TWO
Radha Krishna,vishrantwadi,Snacks,--,200 FOR TWO
ARADHANA SWEETS,vishrantwadi,"Sweets, Desserts",--,200 FOR TWO
Brew Coffee Culture	,vishrantwadi,Beverages,--,300 FOR TWO
Waah! Indore,vishrantwadi,Indian,3.9,150 FOR TWO
LunchBox - Meals and Thalis,vishrantwadi,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.1,200 FOR TWO
Shree Krishna Palace,vishrantwadi,"North Indian, South Indian",4.3,400 FOR TWO
USHA South Indian food,vishrantwadi,South Indian,4.3,300 FOR TWO
